Year,Agriculture,Industrial Sector,Services Sector,Gross Domestic Product (FC)
1950,5359,970,3745,10075
1951,5529,1058,3936,10524
1952,5453,1277,4474,11204
1953,5141,1308,4277,10727
1954,5582,1382,4177,11141
1955,5264,1470,4228,10962
1956,4355,1316,3526,9196
1957,6540,2047,5319,13906
1958,7065,2291,5757,15113
1959,7148,2377,5982,15507
1960,7711,2602,6513,16826
1961,8184,3070,7095,18349
1962,8216,3413,7510,19139
1963,8565,3993,7931,20489
1964,9499,4645,8801,22945
1965,10438,5209,10555,26202
1966,10572,5898,12499,28969
1967,12460,6362,13800,32622
1968,13994,6937,14611,35542
1969,14038,8245,15702,37985
1970,15964,9677,17706,43347
1971,16236,10727,19043,46006
1972,17934,10884,20966,49784
1973,21907,13602,25905,61414
1974,28084,18494,35112,81690
1975,33533,22944,47080,103557
1976,38338,27232,54166,119736
1977,43968,31099,60915,135982
1978,50567,36400,72873,159840
1979,54147,41872,81825,177844
1980,62164,52234,95855,210253
1981,76399,56013,115419,247831
1982,92216,65020,134917,292153
1983,99380,72492,156540,328412
1984,104550,84983,184816,374349
1985,121293,95516,208255,425064
1986,128801,108853,228665,466319
1987,135308,123828,256295,515431
1988,156375,146527,298123,601025
1989,184074,163248,335816,683138
1990,197441,191254,371156,759851
1991,233130,234033,441211,908374
1992,282374,274318,521251,1077943
1993,297814,303110,599205,1200129
1994,357924,351909,703025,1412858
1995,437034,397876,837067,1671977
1996,491791,466319,971781,1929891
1997,594554,523478,1108548,2226580
1998,677531,590504,1212849,2480884
1999,739569,649475,1346899,2735943
2000,923609,830865,1807546,3562020
2001,945301,942263,2035680,3923244
2002,968291,989349,2188527,4146167
2003,1059316,1083914,2390988,4534218
2004,1164751,1416986,2668790,5250527
2005,1314234,1659285,3149049,6122568
2006,1775346,1616157,4324274,7715777
2007,2014317,1846217,4875232,8735766
2008,2393527,2312375,5649353,10355255
2009,2998621,2533221,7010423,12542265
2010,3461273,2931695,7855579,14248547
2011,4592720,3746997,9307836,17647553
2012,4753075,4269666,10338770,19361511
2013,5334976,4519033,11642671,21496680
2014,5984026,4995554,12924402,23903982
2015,6575316,4904064,14342563,25821943
